partner_id,partner_name,partner_type,industry_vertical,partner_size,partner_status,country,state,city,region,integration_type,sales_channel,risk_tier,kyc_status,pci_level,onboarding_date,relationship_manager_region,synthetic_record_flag
P000105,BluePeak Gateway 0105,Bank Sponsor,Education,Enterprise,Active,US,UT,Salt Lake City,West,Batch File,Direct,Medium,Rejected,Level 2,2024-12-08,West,1
P000106,Oakstone Commerce 0106,ISO/Reseller,Professional Services,Enterprise,Active,US,TX,Plano,South,API,Direct,Low,Approved,Level 3,2020-09-12,South,1
P000107,Riverbend Merchant Services 0107,ISV,Logistics,Strategic,Active,US,NY,Albany,Northeast,SDK,Alliance,Medium,Approved,Level 1,2024-10-31,Northeast,1
P000108,Copper Commerce 0108,ISV,Professional Services,Enterprise,Pilot,US,OH,Columbus,Midwest,SFTP,Alliance,Medium,Approved,Level 3,2024-03-31,Midwest,1
P000109,Cedar Financial 0109,Merchant Acquirer,Healthcare,SMB,Active,US,TX,Austin,South,API,Referral,High,Approved,Level 3,2018-02-19,South,1
P000110,Silverline PayWorks 0110,Technology Platform,Professional Services,Enterprise,Active,US,CA,Sacramento,West,SDK,Direct,Low,Approved,Level 2,2021-11-28,West,1
P000111,Maple Checkout 0111,Bank Sponsor,SaaS,Enterprise,Active,US,TX,Dallas,South,Direct Processor,Direct,Medium,Approved,Level 4,2019-03-06,South,1
P000112,Clearwater Checkout 0112,ISO/Reseller,Travel,SMB,Pilot,US,CA,San Francisco,West,SDK,Direct,Medium,Expired,Level 2,2019-10-22,West,1
P000113,Copper PayTech 0113,ISO/Reseller,Retail,Enterprise,Active,US,TN,Memphis,South,API,Direct,Medium,Approved,Level 4,2021-11-27,South,1
P000114,Prairie Payments 0114,Gateway,Utilities,Mid-Market,Active,US,PA,Allentown,Northeast,API,Partner-sourced,Low,Approved,Level 4,2020-07-29,Northeast,1
P000115,Sunrise Connect 0115,Financial Institution,Retail,SMB,Active,US,NC,Durham,South,SFTP,Partner-sourced,Medium,Approved,Level 1,2017-01-22,South,1
P000116,BluePeak Gateway 0116,Financial Institution,Fintech,Enterprise,Active,US,NJ,Jersey City,Northeast,API,Referral,Low,Approved,Level 3,2021-09-16,Northeast,1
P000117,Keystone Market 0117,Technology Platform,Logistics,Mid-Market,Active,US,PA,Philadelphia,Northeast,API,Referral,Low,Approved,Level 1,2019-09-13,Northeast,1
P000118,Maple Payments 0118,ISO/Reseller,Professional Services,Strategic,Active,US,CA,Los Angeles,West,API,Direct,Low,Approved,Level 2,2024-02-17,West,1
P000119,BluePeak Market 0119,Technology Platform,Hospitality,SMB,Active,US,NV,Henderson,West,API,Direct,Medium,Approved,Level 3,2023-02-15,West,1
P000120,Harbor Payments 0120,Bank Sponsor,Education,SMB,Dormant,US,IL,Peoria,Midwest,API,Alliance,Low,Approved,Level 2,2019-03-29,Midwest,1
P000121,BluePeak Checkout 0121,ISO/Reseller,Utilities,Mid-Market,Active,US,PA,Harrisburg,Northeast,Hosted Checkout,Direct,Low,Approved,Level 1,2024-05-09,Northeast,1
P000122,Skyline Billing 0122,Merchant Acquirer,Nonprofit,Mid-Market,Active,US,NV,Reno,West,SFTP,Direct,High,Approved,Level 1,2022-10-28,West,1
P000123,Keystone PayWorks 0123,Technology Platform,SaaS,Enterprise,Active,US,TX,San Antonio,South,API,Direct,Low,Approved,Level 2,2021-10-12,South,1
P000124,Evergreen Market 0124,Technology Platform,Logistics,SMB,Terminated,US,CA,San Francisco,West,API,Alliance,High,Approved,Level 3,2022-10-03,West,1
P000125,Brightpath Payments 0125,Technology Platform,SaaS,Enterprise,Active,US,TX,Austin,South,API,Direct,Low,Approved,Level 2,2023-10-15,South,1
P000126,Summit Payments 0126,Merchant Acquirer,Government,Mid-Market,Active,US,NY,Albany,Northeast,API,Direct,Low,Approved,Level 3,2025-04-02,Northeast,1
P000127,Cedar Processing 0127,ISV,Travel,Mid-Market,Suspended,US,MA,Boston,Northeast,API,Alliance,High,Approved,Level 2,2018-12-09,Northeast,1
P000128,Riverbend Checkout 0128,Financial Institution,Utilities,Strategic,Active,US,NJ,Newark,Northeast,API,Alliance,Medium,Approved,Level 4,2018-10-08,Northeast,1
P000129,Granite Connect 0129,Financial Institution,Fintech,SMB,Active,US,AZ,Tucson,West,API,Referral,Low,Approved,Level 4,2021-02-20,West,1
P000130,Brightpath Commerce 0130,ISO/Reseller,Retail,SMB,Active,US,FL,Orlando,South,SDK,Partner-sourced,High,Pending Review,Level 3,2018-05-29,South,1
P000131,Clearwater Platform 0131,ISO/Reseller,Fintech,SMB,Active,US,NY,Rochester,Northeast,SDK,Partner-sourced,Medium,Approved,Level 1,2022-08-22,Northeast,1
P000132,Riverbend Checkout 0132,ISO/Reseller,Professional Services,SMB,Dormant,US,TX,Austin,South,Hosted Checkout,Direct,High,Approved,Level 3,2017-11-20,South,1
P000133,Keystone PayWorks 0133,ISV,SaaS,Mid-Market,Active,US,CA,Sacramento,West,API,Direct,Low,Approved,Level 4,2023-10-15,West,1
P000134,Ironwood Connect 0134,Financial Institution,Retail,SMB,Active,US,TX,Austin,South,SDK,Direct,Medium,Approved,Level 4,2024-03-02,South,1
P000135,Sunrise Platform 0135,ISV,Utilities,Mid-Market,Active,US,VA,Norfolk,South,API,Referral,Medium,Approved,Level 2,2022-06-07,South,1
P000136,Oakstone Gateway 0136,ISV,Gaming,Enterprise,Active,US,TX,Dallas,South,Hosted Checkout,Direct,High,Rejected,Level 2,2022-03-26,South,1
P000137,Brightpath PayWorks 0137,Technology Platform,Travel,SMB,Pilot,US,IL,Naperville,Midwest,API,Direct,High,Approved,Level 1,2020-07-04,Midwest,1
P000138,Skyline Payments 0138,ISO/Reseller,Professional Services,SMB,Dormant,US,CO,Aurora,West,API,Direct,High,Approved,Level 3,2017-07-27,West,1
P000139,BluePeak Connect 0139,ISV,Retail,SMB,Active,US,NY,Rochester,Northeast,API,Direct,Low,Approved,Level 3,2023-04-21,Northeast,1
P000140,Summit Platform 0140,Merchant Acquirer,Education,Mid-Market,Active,US,MI,Detroit,Midwest,API,Alliance,Medium,Approved,Level 2,2021-03-09,Midwest,1
P000141,Maple Solutions 0141,Financial Institution,Healthcare,Mid-Market,Active,US,MI,Grand Rapids,Midwest,API,Direct,Low,Approved,Level 4,2022-02-15,Midwest,1
P000142,Copper Solutions 0142,Merchant Acquirer,SaaS,SMB,Active,US,TX,Dallas,South,API,Alliance,High,Pending Review,Level 2,2022-06-30,South,1
P000143,NorthStar Connect 0143,Merchant Acquirer,SaaS,Strategic,Active,US,FL,Miami,South,SFTP,Direct,Medium,Approved,Level 3,2022-04-28,South,1
P000144,Clearwater Checkout 0144,ISO/Reseller,Gaming,Mid-Market,Active,US,TX,Plano,South,SDK,Direct,Low,Approved,Level 3,2024-08-20,South,1
P000145,BluePeak PayWorks 0145,ISV,Education,Mid-Market,Active,US,TX,Austin,South,API,Referral,Low,Approved,Level 3,2018-07-20,South,1
P000146,RedRock Connect 0146,ISO/Reseller,Professional Services,SMB,Active,US,AZ,Scottsdale,West,SDK,Direct,High,Approved,Level 2,2022-06-07,West,1
P000147,RedRock Financial 0147,ISV,Utilities,SMB,Active,US,GA,Augusta,South,API,Referral,Low,Approved,Level 3,2018-05-15,South,1
P000148,Sunrise Merchant Services 0148,Financial Institution,Utilities,Enterprise,Active,US,FL,Jacksonville,South,API,Alliance,Low,Approved,Level 1,2019-11-17,South,1
P000149,Prairie Merchant Services 0149,ISV,Fintech,SMB,Active,US,AZ,Tempe,West,SDK,Direct,Low,Approved,Level 2,2019-08-12,West,1
P000150,Maple Merchant Services 0150,Technology Platform,Hospitality,SMB,Active,US,TX,San Antonio,South,SDK,Alliance,Low,Expired,Level 2,2019-03-28,South,1
P000151,Silverline Platform 0151,Marketplace,Logistics,SMB,Active,US,UT,Provo,West,Direct Processor,Partner-sourced,Low,Approved,Level 1,2018-12-22,West,1
P000152,Keystone Commerce 0152,Financial Institution,Healthcare,Enterprise,Active,US,TX,San Antonio,South,API,Direct,Medium,Approved,Level 4,2020-10-04,South,1
P000153,Sunrise Merchant Services 0153,ISO/Reseller,Logistics,SMB,Pilot,US,CA,Sacramento,West,API,Alliance,Low,Approved,Level 1,2019-11-20,West,1
P000154,Copper Market 0154,Financial Institution,Fintech,Enterprise,Suspended,US,FL,Tampa,South,SDK,Direct,Low,Pending Review,Level 1,2017-12-22,South,1
P000155,Brightpath PayWorks 0155,ISO/Reseller,Utilities,SMB,Active,US,MN,Minneapolis,Midwest,API,Direct,Low,Approved,Level 3,2023-06-05,Midwest,1
P000156,Summit Merchant Services 0156,Technology Platform,Retail,SMB,Suspended,US,TX,Dallas,South,API,Direct,Low,Approved,Level 2,2020-04-23,South,1
P000157,Harbor Billing 0157,ISO/Reseller,Education,Strategic,Suspended,US,WA,Bellevue,West,SDK,Alliance,Low,Approved,Level 3,2019-10-11,West,1
P000158,Harbor Connect 0158,ISO/Reseller,Fintech,SMB,Pilot,US,OH,Columbus,Midwest,Direct Processor,Direct,High,Approved,Level 2,2023-01-08,Midwest,1
P000159,Clearwater Solutions 0159,Merchant Acquirer,SaaS,Mid-Market,Active,US,TX,Plano,South,API,Referral,Low,Pending Review,Level 1,2021-08-29,South,1
P000160,Ironwood Market 0160,Marketplace,Professional Services,SMB,Active,US,CO,Aurora,West,API,Direct,Low,Approved,Level 4,2024-11-08,West,1
P000161,Ironwood Market 0161,Bank Sponsor,Education,SMB,Active,US,NY,New York,Northeast,SFTP,Direct,Low,Approved,Level 4,2021-04-16,Northeast,1
P000162,Granite Platform 0162,Merchant Acquirer,SaaS,Mid-Market,Active,US,NC,Greensboro,South,API,Direct,Low,Approved,Level 4,2022-12-07,South,1
P000163,Sunrise Market 0163,Financial Institution,Utilities,Mid-Market,Active,US,NC,Charlotte,South,API,Direct,Medium,Approved,Level 4,2018-09-28,South,1
P000164,Sunrise Connect 0164,Technology Platform,SaaS,Mid-Market,Active,US,IL,Chicago,Midwest,Hosted Checkout,Alliance,High,Expired,Level 1,2024-07-15,Midwest,1
P000165,Brightpath Market 0165,Merchant Acquirer,Travel,SMB,Active,US,CA,Los Angeles,West,API,Referral,High,Approved,Level 3,2023-06-24,West,1
