exception_id,partner_id,requested_date,exception_type,exception_status,business_justification,expected_annual_revenue_usd,approved_by_role,review_due_date
E000024,P000155,2018-02-17,Waived monthly minimum,Approved,New partner acquisition,13015.06,Revenue Management,2019-03-17
E000025,P000166,2023-02-05,High-risk waiver,Approved,Risk-adjusted commercial exception,890507.36,Risk Review,2024-02-23
E000026,P000167,2024-11-10,Volume threshold waiver,Approved,Strategic retention,64701.12,Revenue Management,2025-11-28
E000027,P000169,2023-07-03,High-risk waiver,Approved,Risk-adjusted commercial exception,14980.68,Pricing Governance,2024-07-26
E000028,P000171,2019-04-20,Discounted bps,Rejected,Competitive displacement,67533.44,Risk Review,2020-05-07
E000029,P000184,2024-06-03,Legacy plan extension,Approved,New partner acquisition,22260.52,Revenue Management,2026-06-30
E000030,P000187,2023-07-08,High-risk waiver,Pending,Migration incentive,1415887.76,Product Director,2024-07-31
E000031,P000205,2025-06-20,High-risk waiver,Approved,Migration incentive,58879.31,Revenue Management,2026-07-19
E000032,P000208,2023-09-18,Legacy plan extension,Expired,Competitive displacement,822050.18,Pricing Governance,2024-09-24
E000033,P000220,2020-12-06,Discounted bps,Approved,New partner acquisition,72053.34,Revenue Management,2021-12-13
E000034,P000221,2024-12-18,Waived monthly minimum,Approved,Contract renewal concession,191280.82,Pricing Governance,2025-07-16
E000035,P000224,2023-07-06,Legacy plan extension,Approved,Contract renewal concession,250691.96,Pricing Governance,2024-07-28
E000036,P000225,2024-10-28,Discounted bps,Approved,Contract renewal concession,10104487.91,Product Director,2025-11-22
E000037,P000234,2020-12-15,Volume threshold waiver,Approved,Strategic retention,3524.39,Pricing Governance,2021-06-21
E000038,P000242,2025-05-28,High-risk waiver,Approved,Risk-adjusted commercial exception,40872.3,Product Director,2026-06-12
E000039,P000243,2018-09-23,High-risk waiver,Rejected,Competitive displacement,382065.69,Revenue Management,2019-10-11
E000040,P000245,2023-03-07,Waived monthly minimum,Approved,Strategic retention,2038124.06,Risk Review,2025-03-13
E000041,P000247,2018-06-09,Volume threshold waiver,Approved,New partner acquisition,38042.35,Risk Review,2020-06-30
E000042,P000255,2024-05-26,High-risk waiver,Approved,Competitive displacement,5566.47,Pricing Governance,2025-06-06
E000043,P000258,2025-04-21,High-risk waiver,Approved,Strategic retention,3577.26,Product Director,2026-05-25
E000044,P000264,2024-10-28,High-risk waiver,Approved,Risk-adjusted commercial exception,15171.78,Pricing Governance,2025-05-05
E000045,P000265,2023-07-14,Waived monthly minimum,Approved,New partner acquisition,231351.4,Revenue Management,2024-07-20
E000046,P000267,2019-05-31,High-risk waiver,Expired,Competitive displacement,106447.55,Pricing Governance,2020-06-24
E000047,P000277,2023-05-07,Legacy plan extension,Rejected,New partner acquisition,96757.57,Pricing Governance,2024-06-10
E000048,P000283,2024-03-30,Waived monthly minimum,Approved,Migration incentive,350771.34,Product Director,2024-10-26
E000049,P000288,2025-07-17,Volume threshold waiver,Approved,Risk-adjusted commercial exception,91186.97,Pricing Governance,2026-02-14
E000050,P000297,2024-09-06,High-risk waiver,Approved,Migration incentive,32327.58,Revenue Management,2025-03-12
E000051,P000310,2024-10-27,High-risk waiver,Approved,New partner acquisition,5877175.91,Product Director,2025-11-04
E000052,P000316,2025-05-18,Discounted bps,Pending,Migration incentive,1231323.91,Product Director,2026-06-22
E000053,P000317,2025-07-03,Waived monthly minimum,Approved,Migration incentive,58270.87,None,2026-01-14
E000054,P000319,2024-11-15,Waived monthly minimum,Approved,Strategic retention,156657.51,Product Director,2026-12-12
E000055,P000320,2023-11-30,Discounted bps,Approved,Migration incentive,83491.14,Risk Review,2024-06-05
E000056,P000323,2018-10-30,High-risk waiver,Approved,Risk-adjusted commercial exception,8112.46,None,2019-05-26
E000057,P000328,2023-04-11,Legacy plan extension,Expired,New partner acquisition,33288.39,Pricing Governance,2025-04-18
E000058,P000353,2023-04-24,Legacy plan extension,Approved,Strategic retention,694780.44,Pricing Governance,2024-05-07
E000059,P000354,2024-09-07,Waived monthly minimum,Approved,Strategic retention,606956.89,Pricing Governance,2026-10-12
E000060,P000357,2025-07-20,Discounted bps,Pending,Competitive displacement,15060.41,Pricing Governance,2026-08-22
E000061,P000359,2024-09-30,Legacy plan extension,Approved,Migration incentive,28411.28,Product Director,2025-10-07
E000062,P000363,2023-05-11,Volume threshold waiver,Approved,Contract renewal concession,9260.25,Revenue Management,2024-05-24
E000063,P000366,2024-01-30,Volume threshold waiver,Expired,Contract renewal concession,86144.13,Pricing Governance,2025-02-25
E000064,P000374,2022-03-02,Legacy plan extension,Pending,New partner acquisition,19505.21,Revenue Management,2024-03-19
E000065,P000380,2023-08-22,Waived monthly minimum,Pending,Competitive displacement,3359.66,Revenue Management,2024-03-19
E000066,P000389,2023-06-25,Waived monthly minimum,Pending,Contract renewal concession,8204.63,None,2024-01-10
E000067,P000390,2023-12-08,Volume threshold waiver,Rejected,New partner acquisition,12562.72,Pricing Governance,2025-01-09
E000068,P000393,2025-02-22,Waived monthly minimum,Pending,Migration incentive,1558061.33,Pricing Governance,2027-03-04
E000069,P000409,2022-01-02,Waived monthly minimum,Pending,Strategic retention,42471.09,Pricing Governance,2023-01-16
E000070,P000412,2017-12-29,Volume threshold waiver,Pending,Strategic retention,146775.76,Pricing Governance,2020-01-28
E000071,P000413,2022-04-05,Volume threshold waiver,Approved,New partner acquisition,6793.63,Pricing Governance,2023-05-04
E000072,P000419,2024-05-19,High-risk waiver,Rejected,Migration incentive,30054.61,Risk Review,2024-12-07
E000073,P000420,2023-08-01,Volume threshold waiver,Approved,Competitive displacement,45601.05,Pricing Governance,2024-02-13
E000074,P000422,2024-03-27,Legacy plan extension,Approved,Migration incentive,21358.14,Risk Review,2026-04-07
E000075,P000425,2024-01-19,High-risk waiver,Rejected,Risk-adjusted commercial exception,747588.49,Risk Review,2026-02-21
E000076,P000428,2022-09-18,Legacy plan extension,Approved,Risk-adjusted commercial exception,26273.95,Pricing Governance,2023-03-23
E000077,P000444,2018-06-03,Waived monthly minimum,Approved,Migration incentive,249767.0,None,2019-06-23
E000078,P000446,2024-03-29,Waived monthly minimum,Approved,Strategic retention,28601.5,Risk Review,2025-04-29
E000079,P000457,2018-05-21,Legacy plan extension,Pending,Competitive displacement,3512.35,Revenue Management,2019-05-27
E000080,P000458,2022-09-09,Discounted bps,Pending,Strategic retention,13909.27,Revenue Management,2023-10-09
E000081,P000459,2025-01-10,Discounted bps,Approved,Contract renewal concession,36091.44,Pricing Governance,2026-01-27
E000082,P000468,2023-02-02,High-risk waiver,Pending,Competitive displacement,11732.58,Revenue Management,2024-02-22
E000083,P000469,2019-01-25,Volume threshold waiver,Pending,Contract renewal concession,1003735.39,Pricing Governance,2020-02-28
E000084,P000473,2023-09-06,Legacy plan extension,Approved,Contract renewal concession,19738.91,Revenue Management,2024-09-27
E000085,P000476,2023-05-27,Legacy plan extension,Pending,Strategic retention,13713.25,Revenue Management,2023-12-25
E000086,P000484,2023-02-17,High-risk waiver,Approved,New partner acquisition,19289.59,Revenue Management,2024-02-22
E000087,P000496,2024-03-22,Volume threshold waiver,Approved,Migration incentive,22289.76,Product Director,2024-10-12
E000088,P000497,2023-01-26,Legacy plan extension,Pending,Strategic retention,12893.46,Product Director,2025-01-31
E000089,P000523,2021-05-08,Waived monthly minimum,Approved,Strategic retention,4023.26,Pricing Governance,2022-05-18
E000090,P000529,2023-08-17,High-risk waiver,Approved,Risk-adjusted commercial exception,443240.57,Pricing Governance,2024-09-09
E000091,P000534,2021-11-06,Discounted bps,Rejected,Migration incentive,1303.26,Revenue Management,2022-11-27
E000092,P000544,2025-07-29,Discounted bps,Pending,Competitive displacement,522771.38,Pricing Governance,2027-08-25
E000093,P000547,2024-11-08,Waived monthly minimum,Approved,New partner acquisition,104812.26,Revenue Management,2025-11-22
E000094,P000553,2018-12-13,Waived monthly minimum,Rejected,Migration incentive,125925.48,Product Director,2020-01-05
E000095,P000555,2025-05-13,Waived monthly minimum,Approved,Contract renewal concession,159122.09,Pricing Governance,2027-06-14
E000096,P000560,2024-05-02,Discounted bps,Approved,New partner acquisition,18911.56,Revenue Management,2025-05-28
E000097,P000564,2020-01-05,High-risk waiver,Rejected,Contract renewal concession,111638.04,Product Director,2021-01-26
E000098,P000565,2024-10-01,Waived monthly minimum,Approved,New partner acquisition,83195.93,Product Director,2026-10-25
E000099,P000573,2018-02-11,Legacy plan extension,Approved,Strategic retention,7009.51,Pricing Governance,2018-08-16
E000100,P000584,2024-05-29,High-risk waiver,Approved,Contract renewal concession,341427.95,Product Director,2025-06-19
E000101,P000585,2020-06-23,Legacy plan extension,Pending,Risk-adjusted commercial exception,13377.31,Pricing Governance,2021-06-30
E000102,P000589,2021-08-17,Volume threshold waiver,Approved,Contract renewal concession,11307.14,Revenue Management,2022-09-10
E000103,P000598,2023-06-27,Waived monthly minimum,Approved,Contract renewal concession,718424.59,Product Director,2024-01-16
E000104,P000609,2023-12-03,Legacy plan extension,Approved,Strategic retention,9881.9,None,2024-06-22
E000105,P000614,2018-03-24,Waived monthly minimum,Approved,Strategic retention,45993.78,Risk Review,2019-04-17
E000106,P000632,2023-12-07,High-risk waiver,Approved,New partner acquisition,367336.14,None,2025-01-08
E000107,P000634,2023-01-15,High-risk waiver,Expired,Strategic retention,175316.65,Revenue Management,2025-02-01
E000108,P000637,2018-01-20,Legacy plan extension,Approved,Migration incentive,7603.18,Pricing Governance,2019-02-23
E000109,P000638,2025-04-01,High-risk waiver,Approved,Competitive displacement,35688.27,Pricing Governance,2026-05-04
E000110,P000642,2022-02-10,Volume threshold waiver,Approved,Strategic retention,277762.47,Revenue Management,2023-02-26
E000111,P000651,2024-05-01,Waived monthly minimum,Approved,New partner acquisition,46392.2,Product Director,2025-05-12
E000112,P000652,2020-07-06,Volume threshold waiver,Approved,New partner acquisition,300623.93,Revenue Management,2021-07-31
E000113,P000670,2022-04-05,Volume threshold waiver,Approved,Risk-adjusted commercial exception,4174.3,None,2022-11-06
E000114,P000674,2023-06-09,High-risk waiver,Approved,New partner acquisition,95664.75,Revenue Management,2025-06-19
E000115,P000678,2020-05-22,Discounted bps,Pending,Contract renewal concession,9862.89,Revenue Management,2021-06-20
E000116,P000687,2025-04-09,Volume threshold waiver,Approved,Contract renewal concession,18253.99,Revenue Management,2026-05-10
E000117,P000689,2022-03-31,High-risk waiver,Rejected,Migration incentive,12459.02,Pricing Governance,2022-10-03
E000118,P000690,2023-05-04,Waived monthly minimum,Approved,Strategic retention,1181.39,Product Director,2024-05-29
E000119,P000714,2020-06-06,Volume threshold waiver,Pending,Strategic retention,850.9,Pricing Governance,2021-07-10
E000120,P000715,2025-02-13,Waived monthly minimum,Approved,Migration incentive,51264.53,Revenue Management,2027-03-14
E000121,P000719,2023-10-05,High-risk waiver,Approved,Contract renewal concession,18944.2,Pricing Governance,2024-11-04
E000122,P000724,2020-01-29,Waived monthly minimum,Expired,New partner acquisition,643567.1,Pricing Governance,2021-02-13
E000123,P000725,2023-03-15,Waived monthly minimum,Approved,Strategic retention,1751.62,Pricing Governance,2025-03-25
E000124,P000735,2023-09-29,High-risk waiver,Approved,Strategic retention,118134.34,Revenue Management,2024-04-18
E000125,P000739,2020-11-02,Waived monthly minimum,Pending,Migration incentive,132.91,Pricing Governance,2021-05-10
E000126,P000742,2023-05-29,Volume threshold waiver,Rejected,Risk-adjusted commercial exception,250596.0,Product Director,2023-12-26
E000127,P000755,2023-06-10,High-risk waiver,Approved,Migration incentive,495899.68,Product Director,2024-06-26
E000128,P000758,2023-03-02,High-risk waiver,Pending,Strategic retention,104771.35,None,2025-03-21
E000129,P000773,2023-04-20,High-risk waiver,Approved,Contract renewal concession,22753.98,Pricing Governance,2025-05-17
E000130,P000775,2024-06-14,Discounted bps,Approved,Migration incentive,89271.44,Revenue Management,2025-07-02
E000131,P000776,2025-07-02,High-risk waiver,Rejected,Contract renewal concession,73065.37,None,2026-07-26
E000132,P000778,2024-04-26,High-risk waiver,Approved,Strategic retention,73861.48,Product Director,2025-05-05
E000133,P000779,2024-02-07,Waived monthly minimum,Approved,New partner acquisition,25552.99,Revenue Management,2025-02-11
E000134,P000783,2025-05-26,Volume threshold waiver,Approved,Competitive displacement,30046.57,Pricing Governance,2026-06-19
E000135,P000786,2020-05-02,Discounted bps,Approved,Strategic retention,8512.93,Product Director,2022-05-17
E000136,P000797,2025-01-05,Legacy plan extension,Expired,Strategic retention,7904.7,Product Director,2026-01-14
E000137,P000803,2024-10-24,Volume threshold waiver,Approved,Migration incentive,33436.63,Revenue Management,2025-05-08
E000138,P000813,2024-06-28,High-risk waiver,Approved,New partner acquisition,119410.97,Product Director,2025-07-09
E000139,P000825,2023-07-25,Volume threshold waiver,Pending,Competitive displacement,22992.44,Risk Review,2025-08-20
E000140,P000835,2024-06-27,Volume threshold waiver,Approved,Strategic retention,17562.15,Revenue Management,2025-07-04
E000141,P000837,2022-05-01,High-risk waiver,Expired,New partner acquisition,6884.24,Risk Review,2022-11-18
E000142,P000838,2025-06-27,Waived monthly minimum,Approved,Contract renewal concession,384117.38,Pricing Governance,2026-07-27
E000143,P000839,2025-05-08,Legacy plan extension,Approved,Migration incentive,457740.74,Revenue Management,2026-05-20
E000144,P000843,2024-02-17,Waived monthly minimum,Approved,New partner acquisition,505620.72,Pricing Governance,2024-08-20
E000145,P000845,2023-03-17,High-risk waiver,Approved,Migration incentive,1864.18,Product Director,2025-04-10
E000146,P000846,2021-11-20,Volume threshold waiver,Rejected,Contract renewal concession,49183.56,Product Director,2022-12-09
E000147,P000851,2021-11-05,Waived monthly minimum,Approved,New partner acquisition,958398.08,Pricing Governance,2022-11-11
E000148,P000852,2022-12-13,Legacy plan extension,Approved,Risk-adjusted commercial exception,3031051.45,Product Director,2024-01-01
E000149,P000854,2020-12-30,High-risk waiver,Approved,Migration incentive,208075.36,Pricing Governance,2021-07-11
E000150,P000855,2024-08-30,Legacy plan extension,Rejected,New partner acquisition,2680.84,Revenue Management,2025-09-10
E000151,P000857,2018-07-28,Discounted bps,Rejected,Competitive displacement,29943.39,Revenue Management,2019-02-23
E000152,P000858,2021-09-14,Waived monthly minimum,Approved,Risk-adjusted commercial exception,37353.85,Pricing Governance,2023-10-04
E000153,P000862,2025-05-04,Waived monthly minimum,Approved,Migration incentive,81526.15,Pricing Governance,2026-06-06
E000154,P000865,2023-03-02,Discounted bps,Rejected,Strategic retention,726459.05,Pricing Governance,2024-03-31
E000155,P000870,2023-10-24,Legacy plan extension,Expired,Competitive displacement,25955.14,Revenue Management,2024-11-06
E000156,P000876,2024-06-23,Volume threshold waiver,Approved,Competitive displacement,94443.06,Pricing Governance,2025-07-14
E000157,P000877,2023-12-13,Volume threshold waiver,Approved,Migration incentive,20684.56,Revenue Management,2025-01-08
E000158,P000882,2018-06-17,High-risk waiver,Approved,Strategic retention,14471.98,None,2019-06-23
E000159,P000889,2025-05-12,Waived monthly minimum,Rejected,Contract renewal concession,22180.67,Pricing Governance,2026-05-30
E000160,P000890,2024-01-25,Volume threshold waiver,Rejected,Competitive displacement,23343.69,Pricing Governance,2024-08-20
E000161,P000893,2023-11-28,Waived monthly minimum,Approved,Migration incentive,13900.38,Pricing Governance,2024-06-15
E000162,P000899,2025-02-07,Waived monthly minimum,Approved,Competitive displacement,2187.39,Pricing Governance,2026-02-28
E000163,P000901,2020-12-21,Legacy plan extension,Pending,Contract renewal concession,679231.29,Revenue Management,2022-01-08
E000164,P000905,2018-11-21,Waived monthly minimum,Expired,Migration incentive,18699.05,Pricing Governance,2020-11-26
E000165,P000906,2018-01-01,High-risk waiver,Approved,Risk-adjusted commercial exception,59755.85,Product Director,2018-07-19
E000166,P000907,2025-02-07,High-risk waiver,Expired,Strategic retention,68802.25,Product Director,2026-02-18
E000167,P000908,2021-01-10,Waived monthly minimum,Expired,Migration incentive,57042.23,Pricing Governance,2023-02-07
E000168,P000909,2024-12-16,Discounted bps,Rejected,New partner acquisition,51746.69,None,2027-01-02
E000169,P000911,2025-07-15,Discounted bps,Approved,Migration incentive,21790.67,Pricing Governance,2026-07-29
E000170,P000912,2023-09-08,Discounted bps,Approved,Competitive displacement,356313.48,None,2025-09-26
E000171,P000914,2023-05-12,Discounted bps,Approved,Contract renewal concession,485474.4,Product Director,2023-11-16
E000172,P000923,2020-07-04,Legacy plan extension,Approved,Contract renewal concession,108681.29,Product Director,2021-07-29
E000173,P000934,2021-10-10,Discounted bps,Approved,Contract renewal concession,1344424.22,Revenue Management,2022-04-20
E000174,P000941,2024-12-12,Waived monthly minimum,Pending,Contract renewal concession,667.95,Pricing Governance,2026-12-29
E000175,P000951,2018-09-14,High-risk waiver,Approved,Risk-adjusted commercial exception,51612.04,Revenue Management,2019-03-26
E000176,P000952,2020-01-04,Volume threshold waiver,Pending,Competitive displacement,95897.5,Risk Review,2021-01-14
E000177,P000960,2023-04-28,Waived monthly minimum,Rejected,Strategic retention,11391.64,Revenue Management,2025-05-19
E000178,P000961,2018-09-14,Waived monthly minimum,Approved,Competitive displacement,224794.23,Product Director,2019-10-13
E000179,P000977,2022-10-07,Legacy plan extension,Pending,Strategic retention,2519.05,Product Director,2023-05-08
E000180,P000980,2025-06-11,Volume threshold waiver,Approved,Competitive displacement,6284.01,Pricing Governance,2026-06-29
E000181,P000990,2024-09-09,Discounted bps,Expired,Risk-adjusted commercial exception,8093.97,Pricing Governance,2025-09-16
E000182,P001003,2024-03-11,Discounted bps,Approved,Contract renewal concession,2045.88,Revenue Management,2025-03-31
E000183,P001010,2019-08-13,Discounted bps,Pending,Competitive displacement,112976.95,Pricing Governance,2020-03-04
E000184,P001018,2023-11-29,Volume threshold waiver,Approved,Migration incentive,8551.3,Revenue Management,2024-12-05
E000185,P001024,2025-07-03,Waived monthly minimum,Approved,New partner acquisition,30334.93,Product Director,2026-07-31
E000186,P001033,2024-10-22,High-risk waiver,Expired,Strategic retention,519146.29,Risk Review,2025-10-29
E000187,P001045,2018-03-29,Legacy plan extension,Approved,Strategic retention,3008.56,Revenue Management,2019-04-08
E000188,P001048,2020-10-14,Legacy plan extension,Approved,Contract renewal concession,20183.88,Product Director,2021-10-24
E000189,P001056,2022-04-30,Legacy plan extension,Approved,New partner acquisition,226914.37,Revenue Management,2024-05-04
E000190,P001057,2020-09-11,Waived monthly minimum,Approved,Risk-adjusted commercial exception,6152.17,Pricing Governance,2021-10-11
E000191,P001068,2021-12-16,Legacy plan extension,Approved,New partner acquisition,21012.76,Product Director,2022-12-28
E000192,P001069,2019-01-04,Volume threshold waiver,Approved,Migration incentive,144714.7,Pricing Governance,2020-01-22
E000193,P001081,2020-09-17,Waived monthly minimum,Pending,New partner acquisition,128267.16,Revenue Management,2021-04-07
E000194,P001086,2019-07-12,Discounted bps,Rejected,Strategic retention,109435.68,Pricing Governance,2021-07-25
E000195,P001094,2024-08-06,High-risk waiver,Approved,Migration incentive,24569.62,None,2025-09-09
E000196,P001097,2020-01-06,Discounted bps,Pending,Migration incentive,2006934.55,None,2021-01-18
E000197,P001101,2020-12-29,Discounted bps,Rejected,Risk-adjusted commercial exception,230851.18,Product Director,2022-01-11
E000198,P001109,2023-03-09,Legacy plan extension,Approved,Competitive displacement,49584.59,Pricing Governance,2024-04-11
E000199,P001114,2023-04-16,High-risk waiver,Expired,Competitive displacement,98970.65,Revenue Management,2024-05-05
E000200,P001117,2024-06-05,Legacy plan extension,Rejected,Strategic retention,143288.1,Product Director,2025-06-12
E000201,P001123,2023-11-08,Waived monthly minimum,Approved,Competitive displacement,17666.53,Pricing Governance,2024-11-20
E000202,P001125,2023-07-15,Legacy plan extension,Approved,Migration incentive,189985.08,Pricing Governance,2024-08-08
E000203,P001129,2020-02-04,High-risk waiver,Approved,New partner acquisition,85483.96,Risk Review,2021-02-14
E000204,P001136,2018-01-09,Volume threshold waiver,Rejected,Strategic retention,1094353.06,Risk Review,2019-01-23
E000205,P001139,2024-12-03,Volume threshold waiver,Expired,Competitive displacement,989359.3,Pricing Governance,2025-06-27
E000206,P001142,2021-12-25,High-risk waiver,Approved,New partner acquisition,9118.32,Risk Review,2023-01-21
E000207,P001144,2024-04-21,Legacy plan extension,Pending,Competitive displacement,226928.14,Revenue Management,2025-05-26
E000208,P001154,2023-02-22,Waived monthly minimum,Rejected,Contract renewal concession,116761.74,Revenue Management,2025-03-15
E000209,P001156,2020-01-20,Volume threshold waiver,Pending,Migration incentive,26702.74,Pricing Governance,2020-08-17
E000210,P001157,2021-02-12,Legacy plan extension,Rejected,Competitive displacement,53360.13,Product Director,2022-02-22
E000211,P001164,2020-08-03,Waived monthly minimum,Approved,Contract renewal concession,5683.53,Product Director,2022-08-28
E000212,P001179,2021-01-13,Legacy plan extension,Approved,Contract renewal concession,2724.34,None,2022-02-02
E000213,P001186,2020-10-04,Discounted bps,Approved,Risk-adjusted commercial exception,744323.99,None,2022-10-25
E000214,P001187,2023-10-31,Waived monthly minimum,Approved,New partner acquisition,1325060.46,Product Director,2024-06-02
E000215,P001191,2024-10-27,Discounted bps,Approved,New partner acquisition,173146.91,Pricing Governance,2025-11-25
E000216,P001195,2018-12-29,Discounted bps,Pending,Contract renewal concession,102247.51,Product Director,2020-01-11
E000217,P001196,2020-04-03,Legacy plan extension,Approved,Strategic retention,19866.63,Pricing Governance,2020-10-31
E000218,P001205,2020-11-28,Waived monthly minimum,Pending,New partner acquisition,17356.14,Risk Review,2022-12-19
E000219,P001209,2022-01-12,Discounted bps,Approved,Risk-adjusted commercial exception,1287.82,Pricing Governance,2024-01-25
E000220,P001220,2023-08-17,Legacy plan extension,Pending,Competitive displacement,15451.53,Pricing Governance,2024-09-07
E000221,P001233,2025-06-14,High-risk waiver,Approved,Strategic retention,285251.85,Pricing Governance,2026-06-19
E000222,P001243,2023-06-04,Legacy plan extension,Approved,Competitive displacement,37689.73,Risk Review,2024-06-20
E000223,P001250,2019-07-15,Waived monthly minimum,Approved,Contract renewal concession,33991.81,Revenue Management,2020-07-31
E000224,P001252,2024-09-28,Volume threshold waiver,Approved,Risk-adjusted commercial exception,1151.52,Revenue Management,2025-04-17
E000225,P001253,2019-10-08,Volume threshold waiver,Approved,Strategic retention,15168.36,Revenue Management,2021-10-31
E000226,P001254,2018-01-13,Waived monthly minimum,Pending,Contract renewal concession,8874.05,Risk Review,2019-02-11
E000227,P001263,2023-02-02,Discounted bps,Approved,Competitive displacement,119625.92,Risk Review,2023-08-08
E000228,P001276,2019-08-07,Legacy plan extension,Pending,New partner acquisition,115597.74,Pricing Governance,2020-02-10
E000229,P001283,2025-03-27,Waived monthly minimum,Expired,Strategic retention,101093.24,Pricing Governance,2026-04-24
E000230,P001296,2024-09-13,High-risk waiver,Rejected,Contract renewal concession,15537.74,Risk Review,2025-09-23
E000231,P001297,2024-09-23,Legacy plan extension,Pending,New partner acquisition,26373.8,Risk Review,2025-10-01
E000232,P001304,2023-05-10,Volume threshold waiver,Approved,Migration incentive,11467.39,Product Director,2024-06-06
E000233,P001308,2024-07-16,Volume threshold waiver,Approved,Contract renewal concession,18532.33,Pricing Governance,2025-02-16
E000234,P001311,2025-07-07,Waived monthly minimum,Approved,New partner acquisition,27993.74,Risk Review,2026-08-01
E000235,P001321,2024-02-21,Discounted bps,Approved,Risk-adjusted commercial exception,1121715.78,Product Director,2024-08-29
E000236,P001329,2023-08-23,High-risk waiver,Expired,Strategic retention,158246.36,Pricing Governance,2024-09-17
E000237,P001338,2020-01-23,Volume threshold waiver,Approved,Migration incentive,6696.37,Risk Review,2020-08-10
E000238,P001339,2018-09-18,High-risk waiver,Approved,Contract renewal concession,29057.68,Revenue Management,2019-04-09
E000239,P001343,2018-10-12,High-risk waiver,Approved,Contract renewal concession,17024.31,Pricing Governance,2019-10-26
E000240,P001345,2024-05-28,Discounted bps,Approved,Contract renewal concession,1622.11,Product Director,2025-06-07
E000241,P001347,2018-10-01,High-risk waiver,Pending,Competitive displacement,2168522.57,Revenue Management,2019-10-11
E000242,P001352,2023-06-12,Waived monthly minimum,Approved,New partner acquisition,236570.46,Product Director,2024-07-02
E000243,P001354,2023-09-17,High-risk waiver,Approved,Strategic retention,3430.19,Product Director,2024-10-11
E000244,P001355,2023-09-27,Discounted bps,Approved,Contract renewal concession,14814.82,Pricing Governance,2024-10-08
E000245,P001359,2018-10-27,Discounted bps,Approved,Competitive displacement,9222.59,Revenue Management,2019-11-21
E000246,P001360,2024-02-17,Legacy plan extension,Rejected,Contract renewal concession,1655254.89,Revenue Management,2025-02-22
E000247,P001367,2023-06-11,Legacy plan extension,Rejected,Competitive displacement,72180.43,Product Director,2024-06-19
E000248,P001370,2023-12-19,High-risk waiver,Approved,Competitive displacement,174701.83,None,2025-01-04
E000249,P001373,2024-10-26,Waived monthly minimum,Approved,Strategic retention,77468.14,Revenue Management,2025-11-28
E000250,P001384,2020-07-11,Waived monthly minimum,Pending,Strategic retention,458684.07,None,2021-07-23
E000251,P001387,2022-06-23,High-risk waiver,Approved,Strategic retention,1810.6,Product Director,2023-01-19
E000252,P001389,2025-03-31,Waived monthly minimum,Rejected,Strategic retention,13276.29,Pricing Governance,2025-10-29
E000253,P001394,2020-10-23,High-risk waiver,Expired,Migration incentive,571401.54,Product Director,2021-11-21
