assignment_id,partner_id,pricing_plan_id,recommended_pricing_plan_id,effective_date,expiration_date,review_due_date,negotiated_bps,negotiated_per_txn_fee_usd,monthly_minimum_fee_usd,exception_flag,exception_type,approval_status,approved_by_role,pricing_tier,contract_status
A000013,P000013,LAUNCH,LAUNCH,2025-08-18,,2027-08-18,90.49,0.0879,99.0,0,,Not Required,,LAUNCH,Active
A000014,P000014,LAUNCH,LAUNCH,2023-02-24,,2025-02-23,98.11,0.0785,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000015,P000015,SCALE,SCALE,2019-08-27,,2021-08-26,44.36,0.0479,1999.0,0,,Not Required,,SCALE,Review Overdue
A000016,P000016,PLATFORM_ISV,PLATFORM_ISV,2024-12-15,,2026-12-15,52.78,0.0539,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000017,P000017,GROWTH,GROWTH,2023-12-05,,2025-12-04,70.74,0.0592,499.0,0,,Not Required,,GROWTH,Review Overdue
A000018,P000018,PLATFORM_ISV,PLATFORM_ISV,2025-04-06,,2027-04-06,58.46,0.0473,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000019,P000019,PLATFORM_ISV,PLATFORM_ISV,2024-06-11,,2026-06-11,58.79,0.0461,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000020,P000020,PLATFORM_ISV,PLATFORM_ISV,2021-06-01,,2021-11-28,29.94,0.0436,999.0,1,Discounted bps,Approved,Risk Review,PLATFORM_ISV,Review Overdue
A000021,P000021,STRATEGIC,STRATEGIC,2023-02-27,,2025-02-26,22.77,0.0227,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000022,P000022,LAUNCH,LAUNCH,2024-01-02,,2026-01-01,91.17,0.0714,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000023,P000023,LAUNCH,LAUNCH,2023-03-11,,2025-03-10,92.24,0.0748,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000024,P000024,PLATFORM_ISV,PLATFORM_ISV,2025-04-27,,2026-04-27,37.24,0.0425,999.0,1,Legacy plan extension,Pending,Product Director,PLATFORM_ISV,Review Overdue
A000025,P000025,PLATFORM_ISV,PLATFORM_ISV,2025-01-06,,2027-01-06,56.57,0.0476,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000026,P000026,LAUNCH,LAUNCH,2024-01-02,,2026-01-01,90.46,0.0839,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000027,P000027,LEGACY_STANDARD,STRATEGIC,2022-05-26,,2023-05-26,59.12,0.0558,0.0,1,Discounted bps,Rejected,Pricing Governance,LEGACY_STANDARD,Review Overdue
A000028,P000028,STRATEGIC,STRATEGIC,2024-01-08,,2026-01-07,23.32,0.0252,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000029,P000029,HIGH_RISK,HIGH_RISK,2024-09-22,,2026-09-22,109.73,0.1038,2999.0,0,,Not Required,,HIGH_RISK,Review Due Soon
A000030,P000030,SCALE,SCALE,2019-07-14,,2021-07-13,42.95,0.0395,1999.0,0,,Not Required,,SCALE,Review Overdue
A000031,P000031,GROWTH,GROWTH,2024-10-12,,2026-10-12,79.35,0.0574,499.0,0,,Not Required,,GROWTH,Active
A000032,P000032,GROWTH,GROWTH,2023-02-14,,2025-02-13,72.11,0.062,499.0,0,,Not Required,,GROWTH,Review Overdue
A000033,P000033,GROWTH,GROWTH,2024-03-25,,2026-03-25,73.85,0.0633,499.0,0,,Not Required,,GROWTH,Review Overdue
A000034,P000034,SCALE,SCALE,2025-03-21,,2027-03-21,53.58,0.042,1999.0,0,,Not Required,,SCALE,Active
A000035,P000035,GROWTH,GROWTH,2023-04-04,,2025-04-03,74.73,0.0512,499.0,0,,Not Required,,GROWTH,Review Overdue
A000036,P000036,HIGH_RISK,HIGH_RISK,2023-10-07,,2025-10-06,109.84,0.095,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000037,P000037,SCALE,SCALE,2024-01-05,,2026-01-04,46.26,0.0345,1999.0,0,,Not Required,,SCALE,Review Overdue
A000038,P000038,PLATFORM_ISV,PLATFORM_ISV,2024-04-05,,2026-04-05,50.74,0.0408,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000039,P000039,HIGH_RISK,HIGH_RISK,2024-11-10,,2026-11-10,110.51,0.0992,2999.0,0,,Not Required,,HIGH_RISK,Active
A000040,P000040,HIGH_RISK,HIGH_RISK,2025-04-13,,2027-04-13,100.44,0.0997,2999.0,0,,Not Required,,HIGH_RISK,Active
A000041,P000041,LEGACY_STANDARD,STRATEGIC,2018-11-27,,2019-05-26,72.08,0.0506,0.0,1,High-risk waiver,Pending,,LEGACY_STANDARD,Review Overdue
A000042,P000042,PLATFORM_ISV,PLATFORM_ISV,2023-02-11,,2025-02-10,50.73,0.0468,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000043,P000043,STRATEGIC,STRATEGIC,2025-08-01,,2027-08-01,25.33,0.0167,4999.0,0,,Not Required,,STRATEGIC,Active
A000044,P000044,LEGACY_STANDARD,HIGH_RISK,2020-02-28,,2020-08-26,48.5,0.0546,0.0,1,Legacy plan extension,Approved,Revenue Management,LEGACY_STANDARD,Review Overdue
A000045,P000045,GROWTH,GROWTH,2018-02-06,,2020-02-06,73.9,0.0646,499.0,0,,Not Required,,GROWTH,Review Overdue
A000046,P000046,SCALE,LAUNCH,2024-12-04,,2025-12-04,47.83,0.0397,1999.0,1,High-risk waiver,Approved,Pricing Governance,SCALE,Review Overdue
A000047,P000047,LAUNCH,LAUNCH,2018-03-23,,2020-03-22,96.23,0.0827,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000048,P000048,HIGH_RISK,HIGH_RISK,2023-04-01,,2025-03-31,112.82,0.1025,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000049,P000049,PLATFORM_ISV,PLATFORM_ISV,2025-03-31,,2027-03-31,59.43,0.0456,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000050,P000050,GROWTH,GROWTH,2024-10-06,,2026-10-06,64.67,0.0589,499.0,0,,Not Required,,GROWTH,Active
A000051,P000051,GROWTH,GROWTH,2018-07-22,,2019-07-22,66.5,0.0572,499.0,1,High-risk waiver,Approved,Revenue Management,GROWTH,Review Overdue
A000052,P000052,PROMO_GROWTH,HIGH_RISK,2025-05-06,,2025-11-02,38.7,0.0412,299.0,1,Discounted bps,Expired,Pricing Governance,PROMO_GROWTH,Expired
A000053,P000053,PLATFORM_ISV,PLATFORM_ISV,2024-10-27,,2026-10-27,56.88,0.0472,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000054,P000054,HIGH_RISK,HIGH_RISK,2024-11-05,,2026-11-05,112.09,0.0971,2999.0,0,,Not Required,,HIGH_RISK,Active
A000055,P000055,SCALE,SCALE,2024-02-08,,2026-02-07,45.0,0.0357,1999.0,0,,Not Required,,SCALE,Review Overdue
A000056,P000056,STRATEGIC,STRATEGIC,2023-10-09,,2025-10-08,21.57,0.0214,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000057,P000057,GROWTH,GROWTH,2020-06-21,,2022-06-21,72.31,0.0528,499.0,0,,Not Required,,GROWTH,Review Overdue
A000058,P000058,LAUNCH,LAUNCH,2023-07-03,,2025-07-02,93.97,0.0775,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000059,P000059,GROWTH,GROWTH,2024-08-23,,2026-08-23,70.05,0.0607,499.0,0,,Not Required,,GROWTH,Review Due Soon
A000060,P000060,GROWTH,GROWTH,2022-12-21,,2024-12-20,70.99,0.064,499.0,0,,Not Required,,GROWTH,Review Overdue
A000061,P000061,SCALE,GROWTH,2018-07-16,,2019-07-16,30.06,0.0397,1999.0,1,Volume threshold waiver,Expired,Product Director,SCALE,Expired
A000062,P000062,SCALE,HIGH_RISK,2024-06-09,,2024-12-06,49.63,0.0435,1999.0,1,Volume threshold waiver,Approved,,SCALE,Review Overdue
A000063,P000063,GROWTH,GROWTH,2023-10-27,,2025-10-26,73.61,0.0546,499.0,0,,Not Required,,GROWTH,Review Overdue
A000064,P000064,LAUNCH,LAUNCH,2018-01-13,,2019-01-13,90.88,0.0714,0.0,1,Waived monthly minimum,Expired,Pricing Governance,LAUNCH,Expired
A000065,P000065,GROWTH,GROWTH,2024-10-22,,2026-10-22,71.36,0.0609,499.0,0,,Not Required,,GROWTH,Active
A000066,P000066,STRATEGIC,STRATEGIC,2024-08-25,,2026-08-25,16.0,0.0317,4999.0,1,Legacy plan extension,Approved,Risk Review,STRATEGIC,Review Due Soon
A000067,P000067,STRATEGIC,STRATEGIC,2019-09-30,,2021-09-29,22.36,0.0298,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000068,P000068,HIGH_RISK,HIGH_RISK,2024-05-30,,2026-05-30,116.8,0.1027,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000069,P000069,LEGACY_ENTERPRISE,PLATFORM_ISV,2021-03-28,,2022-03-28,11.91,0.0307,0.0,1,Discounted bps,Expired,Revenue Management,LEGACY_ENTERPRISE,Expired
A000070,P000070,GROWTH,GROWTH,2024-02-08,,2026-02-07,70.48,0.0639,499.0,0,,Not Required,,GROWTH,Review Overdue
A000071,P000071,HIGH_RISK,HIGH_RISK,2024-12-04,,2026-12-04,114.46,0.1011,2999.0,0,,Not Required,,HIGH_RISK,Active
A000072,P000072,GROWTH,GROWTH,2023-09-06,,2025-09-05,66.36,0.0564,499.0,0,,Not Required,,GROWTH,Review Overdue
A000073,P000073,LEGACY_STANDARD,GROWTH,2018-06-03,,2019-06-03,55.02,0.0597,0.0,1,Volume threshold waiver,Expired,Revenue Management,LEGACY_STANDARD,Expired
A000074,P000074,HIGH_RISK,HIGH_RISK,2024-12-28,,2026-12-28,108.91,0.0968,2999.0,0,,Not Required,,HIGH_RISK,Active
A000075,P000075,HIGH_RISK,HIGH_RISK,2022-01-13,,2024-01-13,117.85,0.1036,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000076,P000076,HIGH_RISK,HIGH_RISK,2023-06-01,,2025-05-31,106.82,0.097,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000077,P000077,GROWTH,GROWTH,2024-02-07,,2026-02-06,68.26,0.0573,499.0,0,,Not Required,,GROWTH,Review Overdue
A000078,P000078,LAUNCH,LAUNCH,2025-02-25,,2027-02-25,87.18,0.0843,99.0,0,,Not Required,,LAUNCH,Active
A000079,P000079,HIGH_RISK,HIGH_RISK,2025-06-29,,2027-06-29,105.56,0.0989,2999.0,0,,Not Required,,HIGH_RISK,Active
A000080,P000080,STRATEGIC,STRATEGIC,2019-08-18,,2021-08-17,19.19,0.0262,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000081,P000081,SCALE,SCALE,2023-12-28,,2025-12-27,43.12,0.0344,1999.0,0,,Not Required,,SCALE,Review Overdue
A000082,P000082,HIGH_RISK,HIGH_RISK,2025-03-07,,2027-03-07,107.11,0.0976,2999.0,0,,Not Required,,HIGH_RISK,Active
A000083,P000083,GROWTH,GROWTH,2018-05-12,,2020-05-11,70.47,0.0631,499.0,0,,Not Required,,GROWTH,Review Overdue
A000084,P000084,HIGH_RISK,HIGH_RISK,2024-04-07,,2026-04-07,109.13,0.1002,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000085,P000085,LAUNCH,LAUNCH,2023-12-04,,2025-12-03,91.53,0.0739,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000086,P000086,HIGH_RISK,HIGH_RISK,2023-09-08,,2025-09-07,107.21,0.0999,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000087,P000087,GROWTH,GROWTH,2025-03-05,,2027-03-05,74.87,0.0609,499.0,0,,Not Required,,GROWTH,Active
A000088,P000088,SCALE,LAUNCH,2023-10-08,,2024-10-07,47.07,0.043,1999.0,1,High-risk waiver,Approved,Pricing Governance,SCALE,Review Overdue
A000089,P000089,SCALE,SCALE,2024-11-18,,2026-11-18,44.93,0.0467,1999.0,0,,Not Required,,SCALE,Active
A000090,P000090,HIGH_RISK,HIGH_RISK,2024-09-26,,2026-09-26,102.46,0.0932,2999.0,0,,Not Required,,HIGH_RISK,Review Due Soon
A000091,P000091,LAUNCH,LAUNCH,2024-07-26,,2026-07-26,88.98,0.0859,99.0,0,,Not Required,,LAUNCH,Review Due Soon
A000092,P000092,GROWTH,GROWTH,2023-06-14,,2025-06-13,70.17,0.0602,499.0,0,,Not Required,,GROWTH,Review Overdue
A000093,P000093,STRATEGIC,STRATEGIC,2024-07-17,,2026-07-17,19.03,0.0321,4999.0,0,,Not Required,,STRATEGIC,Review Due Soon
A000094,P000094,GROWTH,GROWTH,2024-08-01,,2026-08-01,61.92,0.0551,499.0,0,,Not Required,,GROWTH,Review Due Soon
A000095,P000095,HIGH_RISK,HIGH_RISK,2023-09-29,,2024-09-28,92.56,0.1037,2999.0,1,Legacy plan extension,Expired,Revenue Management,HIGH_RISK,Expired
A000096,P000096,LEGACY_ENTERPRISE,LAUNCH,2022-09-26,,2023-09-26,29.83,0.0308,0.0,1,Waived monthly minimum,Expired,Product Director,LEGACY_ENTERPRISE,Expired
A000097,P000097,HIGH_RISK,HIGH_RISK,2025-06-05,,2027-06-05,104.21,0.1035,2999.0,0,,Not Required,,HIGH_RISK,Active
A000098,P000098,HIGH_RISK,HIGH_RISK,2024-05-18,,2025-05-18,85.16,0.0973,2999.0,1,Volume threshold waiver,Approved,,HIGH_RISK,Review Overdue
A000099,P000099,GROWTH,GROWTH,2023-02-02,,2025-02-01,73.03,0.0637,499.0,0,,Not Required,,GROWTH,Review Overdue
A000100,P000100,LEGACY_ENTERPRISE,PLATFORM_ISV,2018-03-25,,2020-03-24,14.57,0.0273,0.0,1,Legacy plan extension,Approved,Revenue Management,LEGACY_ENTERPRISE,Review Overdue
A000101,P000101,GROWTH,GROWTH,2024-05-12,,2026-05-12,66.54,0.059,499.0,0,,Not Required,,GROWTH,Review Overdue
A000102,P000102,GROWTH,GROWTH,2023-10-17,,2025-10-16,73.73,0.0585,499.0,0,,Not Required,,GROWTH,Review Overdue
A000103,P000103,GROWTH,GROWTH,2022-10-04,,2024-10-03,73.1,0.0553,499.0,0,,Not Required,,GROWTH,Review Overdue
A000104,P000104,LAUNCH,LAUNCH,2023-05-19,,2025-05-18,92.61,0.0748,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000105,P000105,SCALE,SCALE,2025-06-20,,2027-06-20,41.05,0.044,1999.0,0,,Not Required,,SCALE,Active
A000106,P000106,SCALE,SCALE,2025-05-16,,2027-05-16,47.72,0.0463,1999.0,0,,Not Required,,SCALE,Active
A000107,P000107,PLATFORM_ISV,PLATFORM_ISV,2021-02-04,,2023-02-04,55.28,0.0557,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000108,P000108,STRATEGIC,STRATEGIC,2024-08-15,,2026-08-15,22.65,0.0213,4999.0,0,,Not Required,,STRATEGIC,Review Due Soon
A000109,P000109,HIGH_RISK,HIGH_RISK,2020-04-30,,2022-04-30,119.06,0.1017,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000110,P000110,PLATFORM_ISV,PLATFORM_ISV,2024-08-18,,2026-08-18,57.31,0.0501,999.0,0,,Not Required,,PLATFORM_ISV,Review Due Soon
A000111,P000111,STRATEGIC,STRATEGIC,2025-04-14,,2027-04-14,29.15,0.0203,4999.0,0,,Not Required,,STRATEGIC,Active
A000112,P000112,HIGH_RISK,HIGH_RISK,2023-06-21,,2025-06-20,116.6,0.1044,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000113,P000113,SCALE,SCALE,2025-03-29,,2027-03-29,48.56,0.0338,1999.0,0,,Not Required,,SCALE,Active
A000114,P000114,GROWTH,GROWTH,2024-08-19,,2026-08-19,74.92,0.0635,499.0,0,,Not Required,,GROWTH,Review Due Soon
A000115,P000115,GROWTH,GROWTH,2025-01-04,,2027-01-04,70.77,0.0564,499.0,0,,Not Required,,GROWTH,Active
A000116,P000116,STRATEGIC,STRATEGIC,2022-12-24,,2024-12-23,25.69,0.0236,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000117,P000117,PLATFORM_ISV,PLATFORM_ISV,2025-01-28,,2027-01-28,56.73,0.0486,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000118,P000118,STRATEGIC,STRATEGIC,2024-06-17,,2026-06-17,27.16,0.0262,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000119,P000119,PLATFORM_ISV,PLATFORM_ISV,2025-02-17,,2027-02-17,48.76,0.0449,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000120,P000120,LAUNCH,LAUNCH,2024-01-28,,2026-01-27,84.58,0.079,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000121,P000121,SCALE,SCALE,2024-06-16,,2026-06-16,42.37,0.0328,1999.0,0,,Not Required,,SCALE,Review Overdue
A000122,P000122,HIGH_RISK,HIGH_RISK,2023-05-10,,2025-05-09,104.19,0.0918,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000123,P000123,PLATFORM_ISV,PLATFORM_ISV,2024-09-24,,2026-09-24,51.7,0.0514,999.0,0,,Not Required,,PLATFORM_ISV,Review Due Soon
A000124,P000124,GROWTH,HIGH_RISK,2024-12-22,,2025-06-20,65.85,0.0572,499.0,1,Volume threshold waiver,Rejected,Product Director,GROWTH,Review Overdue
A000125,P000125,PLATFORM_ISV,PLATFORM_ISV,2024-08-13,,2026-08-13,55.07,0.0493,999.0,0,,Not Required,,PLATFORM_ISV,Review Due Soon
A000126,P000126,PLATFORM_ISV,GROWTH,2024-05-16,,2024-11-12,49.55,0.0427,0.0,1,Waived monthly minimum,Rejected,Product Director,PLATFORM_ISV,Review Overdue
A000127,P000127,HIGH_RISK,HIGH_RISK,2023-08-11,,2025-08-10,111.49,0.1018,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000128,P000128,STRATEGIC,STRATEGIC,2024-11-11,,2026-11-11,28.02,0.0317,4999.0,0,,Not Required,,STRATEGIC,Active
A000129,P000129,LAUNCH,LAUNCH,2025-04-03,,2027-04-03,88.02,0.0822,99.0,0,,Not Required,,LAUNCH,Active
A000130,P000130,LEGACY_ENTERPRISE,HIGH_RISK,2021-11-05,,2022-11-05,49.99,0.0311,0.0,1,Waived monthly minimum,Approved,Pricing Governance,LEGACY_ENTERPRISE,Review Overdue
A000131,P000131,LAUNCH,LAUNCH,2023-03-26,,2025-03-25,88.73,0.0774,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000132,P000132,HIGH_RISK,HIGH_RISK,2025-01-04,,2027-01-04,109.97,0.1044,2999.0,0,,Not Required,,HIGH_RISK,Active
A000133,P000133,PLATFORM_ISV,PLATFORM_ISV,2024-04-25,,2026-04-25,50.74,0.0533,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000134,P000134,GROWTH,GROWTH,2019-11-30,,2021-11-29,72.55,0.0616,499.0,0,,Not Required,,GROWTH,Review Overdue
A000135,P000135,PLATFORM_ISV,PLATFORM_ISV,2025-01-11,,2027-01-11,56.2,0.0567,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000136,P000136,HIGH_RISK,HIGH_RISK,2024-01-22,,2026-01-21,108.84,0.0978,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000137,P000137,HIGH_RISK,HIGH_RISK,2025-05-30,,2027-05-30,109.47,0.1021,2999.0,0,,Not Required,,HIGH_RISK,Active
A000138,P000138,HIGH_RISK,HIGH_RISK,2024-05-30,,2026-05-30,106.84,0.1051,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000139,P000139,PLATFORM_ISV,PLATFORM_ISV,2025-05-29,,2027-05-29,54.97,0.0506,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000140,P000140,GROWTH,GROWTH,2024-08-16,,2026-08-16,67.88,0.0644,499.0,0,,Not Required,,GROWTH,Review Due Soon
A000141,P000141,GROWTH,GROWTH,2024-03-23,,2026-03-23,66.68,0.0618,499.0,0,,Not Required,,GROWTH,Review Overdue
A000142,P000142,HIGH_RISK,HIGH_RISK,2025-05-27,,2027-05-27,108.37,0.1032,2999.0,0,,Not Required,,HIGH_RISK,Active
A000143,P000143,STRATEGIC,STRATEGIC,2024-11-27,,2026-11-27,20.29,0.0271,4999.0,0,,Not Required,,STRATEGIC,Active
A000144,P000144,HIGH_RISK,HIGH_RISK,2018-07-12,,2020-07-11,115.58,0.0856,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000145,P000145,PLATFORM_ISV,PLATFORM_ISV,2024-02-24,,2026-02-23,49.34,0.054,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000146,P000146,HIGH_RISK,HIGH_RISK,2023-12-22,,2025-12-21,98.42,0.0998,2999.0,1,Legacy plan extension,Expired,Pricing Governance,HIGH_RISK,Expired
A000147,P000147,LAUNCH,LAUNCH,2024-08-21,,2026-08-21,92.79,0.0765,99.0,0,,Not Required,,LAUNCH,Review Due Soon
A000148,P000148,STRATEGIC,STRATEGIC,2023-10-17,,2025-10-16,26.83,0.0273,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000149,P000149,PLATFORM_ISV,PLATFORM_ISV,2023-05-14,,2025-05-13,56.22,0.0479,999.0,0,,Not Required,,PLATFORM_ISV,Review Overdue
A000150,P000150,PLATFORM_ISV,PLATFORM_ISV,2025-03-03,,2027-03-03,58.52,0.059,999.0,0,,Not Required,,PLATFORM_ISV,Active
A000151,P000151,GROWTH,GROWTH,2025-04-30,,2027-04-30,72.09,0.0553,499.0,0,,Not Required,,GROWTH,Active
A000152,P000152,STRATEGIC,STRATEGIC,2019-02-07,,2021-02-06,17.87,0.0236,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000153,P000153,LAUNCH,LAUNCH,2025-06-05,,2027-06-05,90.52,0.0758,99.0,0,,Not Required,,LAUNCH,Active
A000154,P000154,LAUNCH,LAUNCH,2023-02-07,,2025-02-06,92.08,0.0726,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000155,P000155,LEGACY_ENTERPRISE,GROWTH,2018-03-17,,2019-03-17,33.1,0.0265,0.0,1,Waived monthly minimum,Approved,Revenue Management,LEGACY_ENTERPRISE,Review Overdue
A000156,P000156,LAUNCH,LAUNCH,2025-06-17,,2027-06-17,89.92,0.0857,99.0,0,,Not Required,,LAUNCH,Active
A000157,P000157,STRATEGIC,STRATEGIC,2024-10-27,,2026-10-27,28.36,0.0224,4999.0,0,,Not Required,,STRATEGIC,Active
A000158,P000158,HIGH_RISK,HIGH_RISK,2019-02-23,,2021-02-22,119.14,0.1022,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000159,P000159,GROWTH,GROWTH,2023-07-15,,2025-07-14,69.25,0.0562,499.0,0,,Not Required,,GROWTH,Review Overdue
A000160,P000160,GROWTH,GROWTH,2023-07-19,,2025-07-18,66.25,0.0578,499.0,0,,Not Required,,GROWTH,Review Overdue
A000161,P000161,LAUNCH,LAUNCH,2023-02-23,,2025-02-22,89.25,0.0802,99.0,0,,Not Required,,LAUNCH,Review Overdue
A000162,P000162,GROWTH,GROWTH,2024-03-24,,2026-03-24,71.45,0.0617,499.0,0,,Not Required,,GROWTH,Review Overdue
A000163,P000163,GROWTH,GROWTH,2023-11-27,,2025-11-26,67.89,0.0624,499.0,0,,Not Required,,GROWTH,Review Overdue
A000164,P000164,HIGH_RISK,HIGH_RISK,2024-03-18,,2026-03-18,105.91,0.0974,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000165,P000165,HIGH_RISK,HIGH_RISK,2023-08-02,,2025-08-01,109.16,0.1019,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000166,P000166,STRATEGIC,STRATEGIC,2023-02-23,,2024-02-23,25.91,0.0229,4999.0,1,High-risk waiver,Approved,Risk Review,STRATEGIC,Review Overdue
A000167,P000167,STRATEGIC,SCALE,2024-11-28,,2025-11-28,5.0,0.0226,4999.0,1,Volume threshold waiver,Approved,Revenue Management,STRATEGIC,Review Overdue
A000168,P000168,HIGH_RISK,HIGH_RISK,2024-06-14,,2026-06-14,101.09,0.1011,2999.0,0,,Not Required,,HIGH_RISK,Review Overdue
A000169,P000169,PLATFORM_ISV,HIGH_RISK,2023-07-27,,2024-07-26,57.73,0.0468,999.0,1,High-risk waiver,Approved,Pricing Governance,PLATFORM_ISV,Review Overdue
A000170,P000170,LAUNCH,LAUNCH,2024-06-28,,2026-06-28,89.2,0.0795,99.0,0,,Not Required,,LAUNCH,Review Due Soon
A000171,P000171,LEGACY_STANDARD,GROWTH,2019-05-08,,2020-05-07,49.38,0.0584,0.0,1,Discounted bps,Rejected,Risk Review,LEGACY_STANDARD,Review Overdue
A000172,P000172,SCALE,SCALE,2025-04-09,,2027-04-09,52.63,0.0375,1999.0,0,,Not Required,,SCALE,Active
A000173,P000173,GROWTH,GROWTH,2023-04-28,,2025-04-27,68.96,0.0669,499.0,0,,Not Required,,GROWTH,Review Overdue
A000174,P000174,SCALE,SCALE,2021-04-27,,2023-04-27,52.72,0.0408,1999.0,0,,Not Required,,SCALE,Review Overdue
A000175,P000175,HIGH_RISK,HIGH_RISK,2024-11-04,,2026-11-04,112.75,0.1015,2999.0,0,,Not Required,,HIGH_RISK,Active
A000176,P000176,STRATEGIC,STRATEGIC,2023-12-10,,2025-12-09,36.5,0.0273,4999.0,0,,Not Required,,STRATEGIC,Review Overdue
A000177,P000177,LAUNCH,LAUNCH,2025-01-31,,2027-01-31,87.95,0.068,99.0,0,,Not Required,,LAUNCH,Active
