partner_id,partner_name,partner_type,industry_vertical,partner_size,partner_status,country,state,city,region,integration_type,sales_channel,risk_tier,kyc_status,pci_level,onboarding_date,relationship_manager_region,synthetic_record_flag,assignment_id,pricing_plan_id,recommended_pricing_plan_id,effective_date,expiration_date,review_due_date,negotiated_bps,negotiated_per_txn_fee_usd,monthly_minimum_fee_usd,exception_flag,exception_type,approval_status,approved_by_role,month,txn_count,payment_volume_usd,avg_ticket_usd,txn_growth_pct,volume_growth_pct,chargeback_rate,auth_approval_rate,active_merchants,refunds_usd,net_revenue_usd,gross_margin_usd,gross_margin_rate,as_of_month,partner_segment,segment_reason
P000001,NorthStar Commerce 0001,Technology Platform,Travel,SMB,Suspended,US,NY,New York,Northeast,API,Direct,High,Approved,Level 3,2019-06-15,Northeast,1,A000001,HIGH_RISK,HIGH_RISK,2023-04-12,,2025-04-11,106.63,0.102,2999.0,0,None,Not Required,None,2025-12-01,126,13089.63,103.11,18.87,13.9,0.0171,0.85482,6,202.09,3151.43,757.29,0.2403,2025-12-01,Inactive / Monitor,Status=Suspended; risk=High; volume=13090; txn_growth=18.87; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000012,Harbor PayWorks 0012,Technology Platform,Education,Mid-Market,Active,US,MI,Detroit,Midwest,Hosted Checkout,Direct,Low,Pending Review,Level 3,2020-06-30,Midwest,1,A000012,SCALE,SCALE,2024-08-12,,2026-08-12,37.0,0.0446,1999.0,0,None,Not Required,None,2025-12-01,26942,4649973.95,172.59,0.34,3.55,0.00355,0.94051,21,55692.23,20405.52,10157.87,0.4978,2025-12-01,Core Partner,Status=Active; risk=Low; volume=4649974; txn_growth=0.34; assigned_plan=SCALE; recommended_plan=SCALE
P000013,Prairie Payments 0013,Merchant Acquirer,Fintech,SMB,Active,US,MA,Worcester,Northeast,API,Alliance,Low,Approved,Level 1,2017-10-18,Northeast,1,A000013,LAUNCH,LAUNCH,2025-08-18,,2027-08-18,90.49,0.0879,99.0,0,None,Not Required,None,2025-12-01,1616,130327.83,80.6,3.32,10.34,0.00737,0.90386,5,1836.26,1420.38,838.45,0.5903,2025-12-01,Core Partner,Status=Active; risk=Low; volume=130328; txn_growth=3.32; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000014,Brightpath Connect 0014,Gateway,Logistics,SMB,Active,US,CA,Los Angeles,West,API,Direct,Low,Approved,Level 2,2022-04-21,West,1,A000014,LAUNCH,LAUNCH,2023-02-24,,2025-02-23,98.11,0.0785,99.0,0,None,Not Required,None,2025-12-01,935,235500.56,251.63,-8.96,-8.13,0.00046,0.94303,4,3485.65,2482.89,1502.89,0.6053,2025-12-01,Core Partner,Status=Active; risk=Low; volume=235501; txn_growth=-8.96; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000015,Summit Payments 0015,ISV,Retail,Mid-Market,Active,US,CA,San Francisco,West,Direct Processor,Alliance,Low,Approved,Level 4,2021-07-08,West,1,A000015,SCALE,SCALE,2019-08-27,,2021-08-26,44.36,0.0479,1999.0,0,None,Not Required,None,2025-12-01,94383,3985153.73,42.22,22.12,20.33,0.00326,0.95763,3,77769.15,24198.09,10552.79,0.4361,2025-12-01,High-Growth Platform,Status=Active; risk=Low; volume=3985154; txn_growth=22.12; assigned_plan=SCALE; recommended_plan=SCALE
P000016,Granite Commerce 0016,ISV,Healthcare,Mid-Market,Active,US,CA,Los Angeles,West,API,Alliance,Low,Approved,Level 3,2017-07-27,West,1,A000016,PLATFORM_ISV,PLATFORM_ISV,2024-12-15,,2026-12-15,52.78,0.0539,999.0,0,None,Not Required,None,2025-12-01,21556,1340617.46,62.19,1.82,-0.77,0.00431,0.94621,29,11600.3,9236.65,5288.91,0.5726,2025-12-01,Core Partner,Status=Active; risk=Low; volume=1340617; txn_growth=1.82; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000017,BluePeak PayTech 0017,Bank Sponsor,Logistics,Enterprise,Active,US,TX,Austin,South,Hosted Checkout,Direct,Low,Approved,Level 2,2021-04-02,South,1,A000017,GROWTH,GROWTH,2023-12-05,,2025-12-04,70.74,0.0592,499.0,0,None,Not Required,None,2025-12-01,8220,1827818.58,222.35,5.41,9.53,0.00497,0.91615,39,18143.85,13915.61,8097.49,0.5819,2025-12-01,Core Partner,Status=Active; risk=Low; volume=1827819; txn_growth=5.41; assigned_plan=GROWTH; recommended_plan=GROWTH
P000018,BluePeak Connect 0018,ISV,SaaS,Enterprise,Active,US,IL,Peoria,Midwest,API,Referral,Medium,Approved,Level 3,2025-04-02,Midwest,1,A000018,PLATFORM_ISV,PLATFORM_ISV,2025-04-06,,2027-04-06,58.46,0.0473,999.0,0,None,Not Required,None,2025-12-01,113028,8282699.87,73.28,-8.34,-4.79,0.00776,0.9152,22,113478.09,54765.89,25608.53,0.4676,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=8282700; txn_growth=-8.34; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000019,Cedar Merchant Services 0019,Technology Platform,Education,Enterprise,Active,US,NY,New York,Northeast,API,Direct,Low,Approved,Level 4,2019-08-22,Northeast,1,A000019,PLATFORM_ISV,PLATFORM_ISV,2024-06-11,,2026-06-11,58.79,0.0461,999.0,0,None,Not Required,None,2025-12-01,13385,2456218.24,183.49,-1.68,4.94,0.00122,0.96106,24,10031.25,16056.16,9139.17,0.5692,2025-12-01,Core Partner,Status=Active; risk=Low; volume=2456218; txn_growth=-1.68; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000020,Oakstone Gateway 0020,ISV,SaaS,Mid-Market,Active,US,TX,Plano,South,API,Direct,Low,Approved,Level 3,2019-12-24,South,1,A000020,PLATFORM_ISV,PLATFORM_ISV,2021-06-01,,2021-11-28,29.94,0.0436,999.0,1,Discounted bps,Approved,Risk Review,2025-12-01,34284,2135632.65,62.29,1.51,2.42,0.00616,0.92774,14,38358.13,8887.87,5537.14,0.623,2025-12-01,Core Partner,Status=Active; risk=Low; volume=2135633; txn_growth=1.51; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000021,Granite Gateway 0021,Merchant Acquirer,Logistics,Strategic,Active,US,NC,Durham,South,API,Direct,Low,Approved,Level 4,2022-09-04,South,1,A000021,STRATEGIC,STRATEGIC,2023-02-27,,2025-02-26,22.77,0.0227,4999.0,0,None,Not Required,None,2025-12-01,113426,27526611.65,242.68,28.46,8.07,0.00061,0.9358,63,533165.36,70251.86,40732.03,0.5798,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=27526612; txn_growth=28.46; assigned_plan=STRATEGIC; recommended_plan=STRATEGIC
P000022,Copper Payments 0022,Gateway,Professional Services,SMB,Active,US,CA,Los Angeles,West,Direct Processor,Alliance,Medium,Approved,Level 2,2024-06-28,West,1,A000022,LAUNCH,LAUNCH,2024-01-02,,2026-01-01,91.17,0.0714,99.0,0,None,Not Required,None,2025-12-01,384,68857.63,179.01,21.52,7.41,0.00368,0.86482,2,531.21,754.19,283.42,0.3758,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=68858; txn_growth=21.52; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000023,Oakstone Gateway 0023,Gateway,Retail,SMB,Active,US,TX,Austin,South,Batch File,Referral,Low,Approved,Level 2,2024-09-16,South,1,A000023,LAUNCH,LAUNCH,2023-03-11,,2025-03-10,92.24,0.0748,99.0,0,None,Not Required,None,2025-12-01,2130,134341.55,63.05,21.78,23.49,0.0001,0.9329,6,2091.57,1497.49,735.12,0.4909,2025-12-01,Core Partner,Status=Active; risk=Low; volume=134342; txn_growth=21.78; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000024,RedRock PayTech 0024,ISV,Logistics,SMB,Active,US,NY,Rochester,Northeast,API,Direct,Medium,Approved,Level 3,2025-04-25,Northeast,1,A000024,PLATFORM_ISV,PLATFORM_ISV,2025-04-27,,2026-04-27,37.24,0.0425,999.0,1,Legacy plan extension,Pending,Product Director,2025-12-01,1851,590945.12,319.12,-1.17,2.7,0.00758,0.85186,4,13613.89,3278.35,1367.4,0.4171,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=590945; txn_growth=-1.17; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000025,Clearwater Payments 0025,Technology Platform,Retail,Enterprise,Pilot,US,FL,Fort Lauderdale,South,API,Direct,Medium,Approved,Level 4,2020-06-16,South,1,A000025,PLATFORM_ISV,PLATFORM_ISV,2025-01-06,,2027-01-06,56.57,0.0476,999.0,0,None,Not Required,None,2025-12-01,97205,9199127.29,94.64,45.79,32.86,0.00945,0.92831,69,212266.84,57665.42,26439.6,0.4585,2025-12-01,Inactive / Monitor,Status=Pilot; risk=Medium; volume=9199127; txn_growth=45.79; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000026,Keystone PayWorks 0026,Gateway,Healthcare,SMB,Suspended,US,PA,Philadelphia,Northeast,Hosted Checkout,Partner-sourced,Low,Approved,Level 2,2018-09-26,Northeast,1,A000026,LAUNCH,LAUNCH,2024-01-02,,2026-01-01,90.46,0.0839,99.0,0,None,Not Required,None,2025-12-01,46,8705.61,187.47,6.98,8.05,0.00336,0.98293,1,98.74,181.61,99.0,0.5451,2025-12-01,Inactive / Monitor,Status=Suspended; risk=Low; volume=8706; txn_growth=6.98; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000027,Prairie Financial 0027,Bank Sponsor,Hospitality,Enterprise,Active,US,CA,San Diego,West,Direct Processor,Alliance,Low,Approved,Level 1,2018-10-15,West,1,A000027,LEGACY_STANDARD,STRATEGIC,2022-05-26,,2023-05-26,59.12,0.0558,0.0,1,Discounted bps,Rejected,Pricing Governance,2025-12-01,225433,20661529.21,91.65,5.0,15.73,0.0021,0.95046,27,373975.03,134730.12,75556.65,0.5608,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=20661529; txn_growth=5.0; assigned_plan=LEGACY_STANDARD; recommended_plan=STRATEGIC
P000028,NorthStar Merchant Services 0028,Financial Institution,Healthcare,Enterprise,Active,US,FL,Miami,South,API,Direct,Low,Approved,Level 2,2019-03-03,South,1,A000028,STRATEGIC,STRATEGIC,2024-01-08,,2026-01-07,23.32,0.0252,4999.0,0,None,Not Required,None,2025-12-01,227371,19903791.3,87.54,-14.5,-3.35,0.0001,0.9225,65,440628.75,57144.39,31492.27,0.5511,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=19903791; txn_growth=-14.5; assigned_plan=STRATEGIC; recommended_plan=STRATEGIC
P000029,Summit Financial 0029,Bank Sponsor,Travel,Mid-Market,Active,US,GA,Atlanta,South,Direct Processor,Referral,Medium,Rejected,Level 4,2019-01-02,South,1,A000029,HIGH_RISK,HIGH_RISK,2024-09-22,,2026-09-22,109.73,0.1038,2999.0,0,None,Not Required,None,2025-12-01,13387,4939100.41,368.94,22.43,9.11,0.01083,0.88893,7,18701.73,58585.32,20932.53,0.3573,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=4939100; txn_growth=22.43; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000030,RedRock Payments 0030,Technology Platform,Education,Enterprise,Active,US,AZ,Phoenix,West,Hosted Checkout,Direct,Low,Approved,Level 3,2024-12-13,West,1,A000030,SCALE,SCALE,2019-07-14,,2021-07-13,42.95,0.0395,1999.0,0,None,Not Required,None,2025-12-01,23194,2485759.74,107.17,-2.72,-9.7,0.00416,0.93011,37,52788.73,13591.5,6961.57,0.5122,2025-12-01,Core Partner,Status=Active; risk=Low; volume=2485760; txn_growth=-2.72; assigned_plan=SCALE; recommended_plan=SCALE
P000031,Riverbend Solutions 0031,Merchant Acquirer,Retail,Mid-Market,Pilot,US,GA,Savannah,South,SFTP,Alliance,Low,Approved,Level 2,2020-06-20,South,1,A000031,GROWTH,GROWTH,2024-10-12,,2026-10-12,79.35,0.0574,499.0,0,None,Not Required,None,2025-12-01,9507,553103.51,58.18,-10.37,5.69,0.00419,0.92477,5,6818.13,5433.58,3022.7,0.5563,2025-12-01,Inactive / Monitor,Status=Pilot; risk=Low; volume=553104; txn_growth=-10.37; assigned_plan=GROWTH; recommended_plan=GROWTH
P000032,Evergreen Solutions 0032,ISO/Reseller,Healthcare,Mid-Market,Active,US,CA,San Jose,West,Batch File,Direct,Low,Approved,Level 1,2017-01-02,West,1,A000032,GROWTH,GROWTH,2023-02-14,,2025-02-13,72.11,0.062,499.0,0,None,Not Required,None,2025-12-01,6001,707168.55,117.83,10.09,10.66,0.00374,0.89465,36,16034.81,5970.45,3345.84,0.5604,2025-12-01,Core Partner,Status=Active; risk=Low; volume=707169; txn_growth=10.09; assigned_plan=GROWTH; recommended_plan=GROWTH
P000033,Silverline Merchant Services 0033,ISO/Reseller,Professional Services,Mid-Market,Active,US,AZ,Tempe,West,Direct Processor,Direct,Medium,Approved,Level 3,2017-12-14,West,1,A000033,GROWTH,GROWTH,2024-03-25,,2026-03-25,73.85,0.0633,499.0,0,None,Not Required,None,2025-12-01,4190,751079.88,179.21,13.67,10.89,0.0081,0.89609,16,3165.64,6310.95,3110.67,0.4929,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=751080; txn_growth=13.67; assigned_plan=GROWTH; recommended_plan=GROWTH
P000034,Prairie Processing 0034,Merchant Acquirer,Hospitality,Enterprise,Active,US,VA,Norfolk,South,API,Alliance,Medium,Approved,Level 1,2023-11-09,South,1,A000034,SCALE,SCALE,2025-03-21,,2027-03-21,53.58,0.042,1999.0,0,None,Not Required,None,2025-12-01,24770,2152691.55,86.91,32.02,22.84,0.00386,0.92361,22,33172.69,14573.46,7286.73,0.5,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=2152692; txn_growth=32.02; assigned_plan=SCALE; recommended_plan=SCALE
P000035,Summit Billing 0035,Gateway,Fintech,Mid-Market,Active,US,MI,Grand Rapids,Midwest,SFTP,Direct,Low,Approved,Level 4,2021-10-08,Midwest,1,A000035,GROWTH,GROWTH,2023-04-04,,2025-04-03,74.73,0.0512,499.0,0,None,Not Required,None,2025-12-01,26480,1446138.27,54.61,12.4,10.1,0.0027,0.94711,25,29649.83,12661.77,5919.38,0.4675,2025-12-01,Core Partner,Status=Active; risk=Low; volume=1446138; txn_growth=12.4; assigned_plan=GROWTH; recommended_plan=GROWTH
P000036,Sunrise Connect 0036,Technology Platform,Travel,Enterprise,Active,US,PA,Allentown,Northeast,Hosted Checkout,Alliance,Medium,Approved,Level 2,2025-01-25,Northeast,1,A000036,HIGH_RISK,HIGH_RISK,2023-10-07,,2025-10-06,109.84,0.095,2999.0,0,None,Not Required,None,2025-12-01,44665,12123279.45,271.43,37.75,32.07,0.00716,0.88527,23,230806.57,140404.28,50377.06,0.3588,2025-12-01,Strategic Growth,Status=Active; risk=Medium; volume=12123279; txn_growth=37.75; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000037,Copper Processing 0037,Merchant Acquirer,Healthcare,Enterprise,Pilot,US,TX,Plano,South,API,Direct,Low,Approved,Level 2,2024-01-12,South,1,A000037,SCALE,SCALE,2024-01-05,,2026-01-04,46.26,0.0345,1999.0,0,None,Not Required,None,2025-12-01,55205,5152468.67,93.33,3.31,5.73,0.00193,0.8649,36,63508.27,27738.89,15145.43,0.546,2025-12-01,Inactive / Monitor,Status=Pilot; risk=Low; volume=5152469; txn_growth=3.31; assigned_plan=SCALE; recommended_plan=SCALE
P000038,Ironwood Platform 0038,ISV,Professional Services,Enterprise,Active,US,CA,San Jose,West,API,Referral,Low,Approved,Level 2,2020-09-17,West,1,A000038,PLATFORM_ISV,PLATFORM_ISV,2024-04-05,,2026-04-05,50.74,0.0408,999.0,0,None,Not Required,None,2025-12-01,16619,3019752.69,181.7,1.89,-0.42,0.0001,0.95606,59,29747.35,16999.28,10548.05,0.6205,2025-12-01,Core Partner,Status=Active; risk=Low; volume=3019753; txn_growth=1.89; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000039,Maple Payments 0039,Financial Institution,Nonprofit,Enterprise,Suspended,US,WA,Bellevue,West,Batch File,Direct,High,Approved,Level 2,2020-12-11,West,1,A000039,HIGH_RISK,HIGH_RISK,2024-11-10,,2026-11-10,110.51,0.0992,2999.0,0,None,Not Required,None,2025-12-01,7032,389184.09,55.34,2.22,4.74,0.01837,0.89068,7,7845.63,7997.45,3218.97,0.4025,2025-12-01,Inactive / Monitor,Status=Suspended; risk=High; volume=389184; txn_growth=2.22; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000040,Evergreen Market 0040,ISO/Reseller,Gaming,Enterprise,Active,US,FL,Jacksonville,South,Hosted Checkout,Alliance,High,Approved,Level 2,2024-07-02,South,1,A000040,HIGH_RISK,HIGH_RISK,2025-04-13,,2027-04-13,100.44,0.0997,2999.0,0,None,Not Required,None,2025-12-01,185816,6010014.77,32.34,5.03,0.78,0.01893,0.8793,39,105216.0,81889.44,13053.18,0.1594,2025-12-01,Risk Review,Status=Active; risk=High; volume=6010015; txn_growth=5.03; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000041,Cedar Merchant Services 0041,Financial Institution,Logistics,Strategic,Active,US,CA,San Diego,West,Batch File,Direct,Low,Pending Review,Level 2,2021-10-22,West,1,A000041,LEGACY_STANDARD,STRATEGIC,2018-11-27,,2019-05-26,72.08,0.0506,0.0,1,High-risk waiver,Pending,None,2025-12-01,37993,10750130.94,282.95,-5.02,-7.91,0.00555,0.97134,64,174500.04,79409.39,35678.64,0.4493,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=10750131; txn_growth=-5.02; assigned_plan=LEGACY_STANDARD; recommended_plan=STRATEGIC
P000042,Cedar Processing 0042,ISV,Professional Services,Mid-Market,Active,US,FL,Miami,South,API,Alliance,Low,Pending Review,Level 1,2017-03-21,South,1,A000042,PLATFORM_ISV,PLATFORM_ISV,2023-02-11,,2025-02-10,50.73,0.0468,999.0,0,None,Not Required,None,2025-12-01,3655,607709.37,166.23,-15.82,-10.82,0.00109,0.91745,2,12957.99,4252.96,2030.36,0.4774,2025-12-01,Core Partner,Status=Active; risk=Low; volume=607709; txn_growth=-15.82; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000043,Prairie PayTech 0043,ISV,Retail,Strategic,Active,US,AZ,Mesa,West,Batch File,Alliance,Low,Approved,Level 3,2022-04-24,West,1,A000043,STRATEGIC,STRATEGIC,2025-08-01,,2027-08-01,25.33,0.0167,4999.0,0,None,Not Required,None,2025-12-01,474731,33850445.61,71.3,7.27,13.02,0.00307,0.91275,119,778760.89,98670.19,49828.45,0.505,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=33850446; txn_growth=7.27; assigned_plan=STRATEGIC; recommended_plan=STRATEGIC
P000044,Silverline Financial 0044,ISO/Reseller,Travel,SMB,Active,US,UT,Salt Lake City,West,SDK,Referral,High,Rejected,Level 4,2018-03-19,West,1,A000044,LEGACY_STANDARD,HIGH_RISK,2020-02-28,,2020-08-26,48.5,0.0546,0.0,1,Legacy plan extension,Approved,Revenue Management,2025-12-01,437,134935.61,308.3,1.63,16.44,0.01968,0.87263,1,809.05,678.3,57.52,0.0848,2025-12-01,Risk Review,Status=Active; risk=High; volume=134936; txn_growth=1.63; assigned_plan=LEGACY_STANDARD; recommended_plan=HIGH_RISK
P000045,Summit PayWorks 0045,Marketplace,Utilities,SMB,Active,US,TX,Plano,South,Batch File,Alliance,Medium,Approved,Level 3,2020-05-20,South,1,A000045,GROWTH,GROWTH,2018-02-06,,2020-02-06,73.9,0.0646,499.0,0,None,Not Required,None,2025-12-01,4662,597574.25,128.17,4.72,12.1,0.00587,0.89919,4,12959.77,5216.24,2203.34,0.4224,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=597574; txn_growth=4.72; assigned_plan=GROWTH; recommended_plan=GROWTH
P000046,NorthStar Checkout 0046,Financial Institution,Fintech,SMB,Active,US,WA,Seattle,West,Batch File,Alliance,Low,Approved,Level 1,2021-09-17,West,1,A000046,SCALE,LAUNCH,2024-12-04,,2025-12-04,47.83,0.0397,1999.0,1,High-risk waiver,Approved,Pricing Governance,2025-12-01,2013,117418.44,58.33,0.2,-1.37,0.00271,0.93609,1,1929.94,2640.53,1322.38,0.5008,2025-12-01,Pricing Review,Status=Active; risk=Low; volume=117418; txn_growth=0.2; assigned_plan=SCALE; recommended_plan=LAUNCH
P000047,Granite Billing 0047,ISO/Reseller,Hospitality,Mid-Market,Dormant,US,TX,Houston,South,API,Referral,Low,Approved,Level 4,2022-06-04,South,1,A000047,LAUNCH,LAUNCH,2018-03-23,,2020-03-22,96.23,0.0827,99.0,0,None,Not Required,None,2025-12-01,896,90106.38,100.55,-9.86,-2.03,0.00358,0.91262,11,977.13,1040.19,559.93,0.5383,2025-12-01,Inactive / Monitor,Status=Dormant; risk=Low; volume=90106; txn_growth=-9.86; assigned_plan=LAUNCH; recommended_plan=LAUNCH
